,0
2022-05-18,0.9411527783699984
2022-05-19,0.9570934033699984
2022-05-20,0.9459574658699984
2022-05-21,0.9482723291699984
2022-05-22,0.9571872901699984
2022-05-23,0.9449391651699983
2022-05-24,0.9505059229699983
2022-05-25,0.9495736768699983
2022-05-26,0.9466223096699983
2022-05-27,0.9402258057699983
2022-05-28,0.9420990674699982
2022-05-29,0.9484096338699982
2022-05-30,0.9712139698699983
2022-05-31,0.9718731690699981
2022-06-01,0.9519408643699981
2022-06-02,0.9586249463699981
2022-06-03,0.9509939698699981
2022-06-04,0.9522792041699979
2022-06-05,0.9530166846699979
2022-06-06,0.967656782369998
2022-06-07,0.965504848769998
2022-06-08,0.9560936182699978
2022-06-09,0.9550700440699978
2022-06-10,0.944788110469998
2022-06-11,0.9375581690699979
2022-06-12,0.921576547969998
2022-06-13,0.8788239502699979
2022-06-14,0.876017993269998
2022-06-15,0.8796784619699981
2022-06-16,0.8577665674699981
2022-06-17,0.858664887769998
2022-06-18,0.8441264893699981
2022-06-19,0.8594827783699981
2022-06-20,0.8599454346699982
2022-06-21,0.8610560401699981
2022-06-22,0.8538203565699981
2022-06-23,0.8648088330699983
2022-06-24,0.8662666260699983
2022-06-25,0.8689734424699982
2022-06-26,0.8642230127699982
2022-06-27,0.8613048487699982
2022-06-28,0.8567564112699982
2022-06-29,0.8549902979699983
2022-06-30,0.8517973291699982
2022-07-01,0.8466437354699983
2022-07-02,0.8463726221699983
2022-07-03,0.8469208252699983
2022-07-04,0.8562626807699982
2022-07-05,0.8558512158699982
2022-07-06,0.8594325244699982
2022-07-07,0.8703259424699981
2022-07-08,0.8712612354699982
2022-07-09,0.8698721338699983
2022-07-10,0.8625545557699982
2022-07-11,0.8536556299699982
2022-07-12,0.8471892041699982
2022-07-13,0.8560708057699981
2022-07-14,0.8596492627699981
2022-07-15,0.8623133448699982
2022-07-16,0.8658532276699981
2022-07-17,0.8617435010699981
2022-07-18,0.8788069580699982
2022-07-19,0.8878443994699982
2022-07-20,0.8862673877699981
2022-07-21,0.8855963526699981
2022-07-22,0.8810998487699983
2022-07-23,0.8786048487699982
2022-07-24,0.880041704169998
2022-07-25,0.8675670752699981
2022-07-26,0.8663476026699981
2022-07-27,0.883255551869998
2022-07-28,0.892388930769998
2022-07-29,0.891996391669998
2022-07-30,0.8905121338699981
2022-07-31,0.887319028369998
